imdbid,movielabs,deluxe,bomid,bomtitle,wwrelease,inreg
tt1464540,I Am Number Four,I Am Number Four,iamnumberfour,I Am Number Four,2/18/11,0
tt1192628,Rango,Rango,rango,Rango,3/2/11,0
tt1853728,Django Unchained,Django Unchained,djangounchained,Django Unchained,12/25/12,1
tt1622979,Final Destination 5,Final Destination 5,finaldestination5,Final Destination 5,8/12/11,1
tt0472399,The Mechanic,The Mechanic,mechanic,The Mechanic,1/25/11,0
tt1673434,The Twilight Saga: Breaking Dawn - Part 2,The Twilight Saga: Breaking Dawn - Part 2,breakingdawn2,The Twilight Saga: Breaking Dawn Part 2,11/14/12,1
tt0822847,Priest,Priest,priest07,Priest,4/27/11,0
tt1499658,Horrible Bosses,Horrible Bosses,horriblebosses,Horrible Bosses,7/8/11,1
tt1591479,Act of Valor,Act of Valor,actofvalor,Act of Valor,2/23/12,1
tt1568911,War Horse,War Horse,warhorse,War Horse,12/25/11,1
tt1385826,The Adjustment Bureau,The Adjustment Bureau,adjustmentbureau,The Adjustment Bureau,3/3/11,0
tt0978764,Sucker Punch,Sucker Punch,suckerpunch,Sucker Punch,3/24/11,0
tt1592525,Lockout,Lockout,lockout,Lockout,4/12/12,1
tt1259521,The Cabin in the Woods,The Cabin in the Woods,cabininthewoods,The Cabin in the Woods,4/12/12,1
tt0790724,Jack Reacher,Jack Reacher,oneshot,Jack Reacher,12/20/12,1
tt1371111,Cloud Atlas,Cloud Atlas,cloudatlas,Cloud Atlas,10/26/12,1
tt1570728,Crazy_ Stupid_ Love.,"Crazy, Stupid, Love.",crazystupidlove,"Crazy, Stupid, Love.",7/28/11,1
tt1502404,Drive Angry,Drive Angry,driveangry,Drive Angry,2/24/11,0
tt0816462,Conan the Barbarian,Conan the Barbarian,conan3d,Conan the Barbarian (2011),8/17/11,1
tt1488555,The Change-Up,The Change-Up,changeup,The Change-Up,8/5/11,1
tt1482459,The Lorax,Dr. Seuss' The Lorax,lorax,Dr. Seuss' The Lorax,3/1/12,1
tt1657507,Colombiana,Colombiana,colombiana,Colombiana,7/28/11,1
tt1800741,Step Up Revolution,Step Up Revolution,stepup4,Step Up Revolution,7/26/12,1
tt1210166,Moneyball,Moneyball,moneyball,Moneyball,9/23/11,1
tt1606389,The Vow,The Vow,vow,The Vow,2/9/12,1
tt1524137,Contraband,Contraband,contraband,Contraband,1/12/12,1
tt1772341,Wreck-It Ralph,Wreck-It Ralph,rebootralph,Wreck-It Ralph,11/1/12,1
tt1564367,Just Go with It,Just Go with It,thepretendwife,Just Go With It,2/9/11,0
tt1343727,Dredd,Dredd 3D,dredd,Dredd,9/7/12,1
tt1598778,Contagion,Contagion,contagion,Contagion,9/8/11,1
tt1478338,Bridesmaids,Bridesmaids,wiigapatow,Bridesmaids,5/13/11,1
tt0780504,Drive,Drive,drive2011,Drive (2011),9/15/11,1
tt1509767,The Three Musketeers,The Three Musketeers,threemusketeers11,,9/2/11,0
tt0837562,Hotel Transylvania,Hotel Transylvania,hoteltransylvania,Hotel Transylvania,9/20/12,1
tt1033575,The Descendants,The Descendants,descendents,The Descendants,12/9/11,1
tt0443272,Lincoln,Lincoln,lincoln,Lincoln,11/16/12,1
tt1446192,Rise of the Guardians,Rise of the Guardians,guardians,Rise of the Guardians,11/21/12,1
tt1634122,Johnny English Reborn,Johnny English Reborn,johnnyenglish2,Johnny English Reborn,9/15/11,1
tt1222817,Zookeeper,Zookeeper,zookeeper,Zookeeper,7/7/11,0
tt1454029,The Help,The Help,help2011,The Help,8/10/11,1
tt1045658,Silver Linings Playbook,Silver Linings Playbook,silverliningsplaybook,Silver Linings Playbook,11/21/12,0
tt1396218,Mr. Popper's Penguins,Mr. Popper's Penguins,mrpopperspenguins,Mr. Popper's Penguins,6/16/11,1
tt1327194,The Lucky One,The Lucky One,luckyone,The Lucky One,4/19/12,1
tt1615918,Alvin and the Chipmunks: Chipwrecked,Alvin and the Chipmunks: Chip-Wrecked,alvin3d,Alvin and the Chipmunks: Chipwrecked,12/14/11,0
tt1596365,The Woman in Black,The Woman in Black,womaninblack,The Woman in Black,2/3/12,1
tt1240982,Your Highness,Your Highness,yourhighness,Your Highness,4/8/11,0
tt1402488,Happy Feet Two,Happy Feet Two,happyfeet2,Happy Feet Two,11/17/11,1
tt1605783,Midnight in Paris,Midnight in Paris,midnightinparis,Midnight in Paris,5/11/11,0
