imdbid,movielabs,deluxe,bomid,bomtitle,wwrelease,inreg
tt1748122,Moonrise Kingdom,,moonrisekingdom,Moonrise Kingdom,5/16/12,0
tt1991245,Chernobyl Diaries,,chernobyldiaries,Chernobyl Diaries,5/24/12,0
tt1615147,Margin Call,,margincall,Margin Call,9/30/11,0
tt1504320,The King's Speech,,kingsspeechpg13,The King's Speech (PG-13),1/25/11,0
tt1268799,A Very Harold & Kumar 3D Christmas,,haroldandkumar3,A Very Harold & Kumar 3D Christmas,11/4/11,0
tt1583421,G.I. Joe: Retaliation,G.I. Joe: Retaliation,gijoe2,G.I. Joe: Retaliation,3/27/13,1
tt1560747,The Master,,themaster,The Master,9/21/12,0
tt1720616,Friends with Kids,,friendswithkids,Friends with Kids,3/16/12,0
tt1161864,The Rite,,rite,The Rite,1/28/11,0
tt1655420,My Week with Marilyn,,myweekwithmarilyn,My Week with Marilyn,11/25/11,0
tt1582507,House at the End of the Street,,houseattheendofthestreet,House at the End of The Street,9/21/12,0
tt1742650,I Don't Know How She Does It,,idontknowhowshedoesit,I Don't Know How She Does It,9/15/11,0
tt1172991,The Company Men,,companymen,The Company Men,1/27/11,0
tt1483013,Oblivion,Oblivion,oblivion,Oblivion,4/10/13,1
tt1637706,Our Idiot Brother,,ouridiotbrother,Our Idiot Brother,8/26/11,0
tt2243537,A Haunted House,,hauntedhouse,A Haunted House,1/11/13,0
tt1517260,The Host,The Host,host2013,The Host (2013),3/22/13,1
tt1655442,The Artist,,artist,The Artist,10/18/11,0
tt1935179,Mud,Mud,mud,Mud,5/1/13,1
tt1300854,Iron Man Three,Iron Man 3,ironman3,Iron Man 3,4/18/13,1
tt1456635,Goon,,goon,Goon,1/6/12,0
tt2176013,Jab Tak Hai Jaan,,yashchopra,Jab Tak Hai Jaan,11/13/12,0
tt0481499,The Croods,The Croods,croods,The Croods,3/15/13,0
tt1602098,Albert Nobbs,,albertnobbs,Albert Nobbs,12/26/11,0
tt1527186,Melancholia,,melancholia,Melancholia,5/28/11,0
tt1602620,Amour,,amour,Amour,9/20/12,0
tt2387433,Dark Skies,,darkskies,Dark Skies,2/21/13,0
tt1702425,Casa de mi Padre,,casademipadre,Casa De Mi Padre,5/11/12,0
tt0893412,From Prada to Nada,,frompradatonada,From Prada to Nada,1/28/11,0
tt1787988,Talaash,,talaash,Talaash,11/30/12,0
tt0480239,Atlas Shrugged: Part I,,atlasshrugged,,4/16/11,0
tt1255953,Incendies,,incendies,,1/25/11,0
tt1815852,Nitro Circus: The Movie,,nitrocircus,Nitro Circus the Movie 3D,8/8/12,0
tt0770802,Samsara,,samsara,Samsara,8/23/12,0
tt1288558,Evil Dead,Evil Dead,evildead2013,Evil Dead (2013),4/4/13,1
tt1704573,Bernie,,bernie,Bernie,6/25/12,0
tt1711425,21 & Over,21 and Over,21andover,21 and Over,2/28/13,0
tt0765446,Escape from Planet Earth,,escapefromplanetearth,Escape From Planet Earth,2/15/13,0
tt0795461,,,scarymovie5,Scary Movie 5,0000-00-00,0
tt1566501,For Greater Glory: The True Story of Cristiada,,forgreaterglory,For Greater Glory,4/28/12,0
tt2302755,Olympus Has Fallen,Olympus Has Fallen,olympushasfallen,Olympus Has Fallen,3/20/13,1
tt1817676,Girl in Progress,,girlinprogress,Girl in Progress,8/12/12,0
tt0790628,The Incredible Burt Wonderstone,The Incredible Burt Wonderstone,burtwonderstone,The Incredible Burt Wonderstone,3/14/13,0
tt2082197,Barfi!,,barfi,Barfi!,9/13/12,0
tt2101441,Spring Breakers,,springbreakers,Spring Breakers,3/6/13,0
tt1772925,Jiro Dreams of Sushi,,jirodreamsofsushi,Jiro Dreams of Sushi,3/15/12,0
tt1911644,The Call,The Call,call2013,The Call,3/14/13,0
tt1664894,Cave of Forgotten Dreams,,caveofforgottendreams,Cave of Forgotten Dreams,5/9/11,0
tt2011971,Monsieur Lazhar,,monsieurlazhar,Monsieur Lazhar (U.S.-only),3/7/12,0
tt1720182,October Baby,,octoberbaby2012,October Baby (2012),4/16/13,0
tt1980209,Pain & Gain,Pain & Gain,painandgain,Pain and Gain,4/18/13,1
tt2247692,2016: Obama's America,,2016obamasamerica,2016 Obama's America,8/26/12,0
tt1699147,Seven Days in Utopia,,sevendaysinutopia,Seven Days in Utopia,9/4/11,0
tt2103264,Emperor,,emperor,Emperor,4/25/13,0
tt2101341,Dead Man Down,Dead Man Down,deadmandown,Dead Man Down,3/8/13,1
tt1899353,Serbuan maut,The Raid: Redemption,raid,The Raid: Redemption,3/22/12,0
tt1441951,Quartet,,quartet,Quartet,12/26/12,0
tt1559547,42,42,42,42,4/12/13,1
tt2097307,Hit and Run,,hitandrun,Hit and Run,8/22/12,0
tt2359137,Last Ounce of Courage,,lastounceofcourage,Last Ounce of Courage,9/19/12,0
tt1990314,Robot & Frank,,robotandfrank,Robot & Frank,9/19/12,0
tt1753549,Buck,,buck,Buck,2/29/12,0
tt1748227,The Collection,,collection,The Collection,11/29/12,0
tt1985017,Atlas Shrugged II: The Strike,,atlasshruggedpart2,Atlas Shrugged: Part II,10/12/12,0
tt1440266,Pina,,pina,Pina,9/17/11,0
tt1931435,The Big Wedding,The Big Wedding,bigwedding,The Big Wedding,4/25/13,1
tt1814621,Admission,Admission,admission,Admission,3/22/13,1
tt1680059,Born to Be Wild,,borntobewildimax,,4/8/11,0
tt2073128,To the Arctic 3D,,tothearctic,,4/20/12,0
tt1869425,Filly Brown,,fillybrown,Filly Brown,4/21/13,0
tt2051894,Home Run,,homerun,Home Run,4/19/13,0
,,,lionking3d,The Lion King (in 3D),0000-00-00,0
,,Battle: Los Angeles,battlelosangeles,Battle: Los Angeles,0000-00-00,0
,,,beautyandthebeast3d,Beauty and the Beast (3D),0000-00-00,0
tt1702439,Safe Haven,Safe Haven,safehaven,Safe Haven,2/13/13,1
,,,titanic3d,Titanic 3D,0000-00-00,0
,,,jurassicpark3d,Jurassic Park 3D,0000-00-00,0
,,,starwars3d,Star Wars: Episode I - The Phantom Menace (in 3D),0000-00-00,0
,,,findingnemo3d,Finding Nemo (3D),0000-00-00,0
,,,texaschainsaw3d,Texas Chainsaw 3D,0000-00-00,0
,,,monstersinc3d,"Monsters, Inc. (3D)",0000-00-00,0
,,Katy Perry: Part of Me,katyperry,Katy Perry: Part of Me,0000-00-00,0
,,Don't Be Afraid of the Dark,dontbeafraidofthedark,Don't Be Afraid of the Dark,0000-00-00,0
,,,arrietty,The Secret World of Arrietty,0000-00-00,0
,,Shark Night 3D,shark3d,Shark Night 3D,0000-00-00,0
,,,raidersimax,Raiders of the Lost Ark (IMAX),0000-00-00,0
,,,gleelive3d,Glee The 3D Concert Movie,0000-00-00,0
,,,laughatmypain,Kevin Hart: Laugh at My Pain,0000-00-00,0
,,,sarahskey,Sarah's Key,0000-00-00,0
,,,aseperation,A Separation,0000-00-00,0
,,,way2011,The Way,0000-00-00,0
,,"Jeff, Who Lives at Home",jeffwholivesathome,"Jeff, Who Lives at Home",0000-00-00,0
,,,ofgodsandmen,Of Gods and Men,0000-00-00,0
,,The Skin I Live In,skinilivein,The Skin I Live In,0000-00-00,0
,,,debangg2,Dabangg 2,0000-00-00,0
,,,gracecard,The Grace Card,0000-00-00,0
,,,queenofversailles,The Queen of Versailles,0000-00-00,0
,,,ekthatiger,Ek Tha Tiger,0000-00-00,0
tt2309788,The Gatekeepers,,gatekeepers,The Gatekeepers,3/20/13,0
,,,sleepwalkwithme,Sleepwalk with Me,0000-00-00,0
,,Trance,trance,Trance,0000-00-00,0
,,,no2013,No (2013),0000-00-00,0
,,Rust and Bone,rustandbone,Rust and Bone,0000-00-00,0
,,,footnote,Footnote,0000-00-00,0
,,,sapphires,The Sapphires,0000-00-00,0
tt2150332,Renoir,,renoir,Renoir,12/30/12,0
,,The Other Woman,otherwoman14,The Other Woman (2014),0000-00-00,0
tt0983193,The Adventures of Tintin,The Adventures of Tintin: The Secret of the Unicorn,tintin,The Adventures of Tintin,10/26/11,1
tt0770828,Man of Steel,Man of Steel,superman2012,Man of Steel,6/12/13,1
tt1905041,Furious 6,Fast & Furious 6,fast6,Fast & Furious 6,5/17/13,1
tt1408101,Star Trek Into Darkness,Star Trek Into Darkness,startrek12,Star Trek Into Darkness,5/9/13,1
tt1453405,Monsters University,Monsters University,monstersinc2,Monsters University,6/20/13,1
tt1343092,The Great Gatsby,The Great Gatsby,greatgatsby2012,The Great Gatsby (2013),5/10/13,1
tt0816711,World War Z,World War Z,worldwarz,World War Z,6/19/13,1
tt1951261,The Hangover Part III,The Hangover Part III,hangover3,The Hangover Part III,5/23/13,1
tt1670345,Now You See Me,Now You See Me,nowyouseeme,Now You See Me,5/30/13,1
tt0848537,Epic,Epic,leafmen,Epic,5/16/13,1
tt1245492,This is the End,This is the End,rogenhilluntitled,This is the End,6/12/13,1
tt2184339,The Purge,The Purge,purge,The Purge,5/31/13,1
tt1815862,After Earth,After Earth,1000ae,After Earth,5/30/13,1
tt2234155,The Internship,The Internship,internship,The Internship,6/7/13,1
tt2404463,The Heat,The Heat,bullockmccarthy,The Heat,6/27/13,1
tt2334879,White House Down,White House Down,whitehousedown,White House Down,6/27/13,1
tt1699755,Peeples,Peeples,wethepeeples,Tyler Perry Presents Peeples,5/10/13,1
tt2209418,Before Midnight,,beforemidnight,Before Midnight,5/22/13,0
tt2132285,The Bling Ring,,blingring,The Bling Ring,6/12/13,0
tt2347569,Frances Ha,,francisha,Frances Ha,6/20/13,0
tt2094064,Much Ado About Nothing,Much Ado About Nothing,muchado13,Much Ado About Nothing (2013),6/7/13,0
tt1869716,The East,The East,east,The East,6/28/13,0
tt1690953,Despicable Me 2,Despicable Me 2,despicableme2,Despicable Me 2,6/20/13,1
tt2191701,Grown Ups 2,Grown Ups 2,grownups2,Grown Ups 2,7/11/13,1
tt1210819,The Lone Ranger,The Lone Ranger,loneranger,The Lone Ranger,7/3/13,1
tt1663662,Pacific Rim,Pacific Rim,pacificrim,Pacific Rim,7/11/13,1
tt1457767,The Conjuring,The Conjuring,conjuring,The Conjuring,7/18/13,1
tt1860353,Turbo,Turbo,turbo,Turbo,7/17/13,1
tt2609912,Kevin Hart: Let Me Explain,Kevin Hart: Let Me Explain,kevinhart2013,Kevin Hart: Let Me Explain,7/3/13,0
tt1821694,RED 2,Red 2,red2,Red 2,7/18/13,1
tt0790736,R.I.P.D.,R.I.P.D.,ripd,R.I.P.D.,7/17/13,1
tt1727388,The Way Way Back,"The Way, Way Back",waywayback,"The Way, Way Back",7/12/13,1
tt2334649,Fruitvale Station,,fruitvale,Fruitvale Station,7/26/13,0
tt2545118,Blackfish,,blackfish,Blackfish,10/18/13,0
tt1430132,The Wolverine,The Wolverine,wolverine2,The Wolverine,7/24/13,1
tt1723121,We're the Millers,We're the Millers,werethemillers,We're the Millers,8/7/13,1
tt1535108,Elysium,Elysium,elysium,Elysium,8/8/13,1
tt1272878,2 Guns,2 Guns,2guns,2 Guns,8/2/13,1
tt2017020,The Smurfs 2,The Smurfs 2,smurfs2,The Smurfs 2,7/31/13,1
tt1691917,Planes,Planes,planes,Planes,8/9/13,1
tt1327773,The Butler,,butler,Lee Daniels' The Butler,8/16/13,0
tt1854564,Percy Jackson: Sea of Monsters,Percy Jackson: Sea of Monsters,percyjackson2,Percy Jackson: Sea of Monsters,8/7/13,1
tt1650554,Kick-Ass 2,Kick-Ass 2,kickass2,Kick-Ass 2,8/14/13,1
tt1538403,The Mortal Instruments: City of Bones,The Mortal Instruments: City of Bones,mortalinstruments,The Mortal Instruments: City of Bones,8/21/13,1
tt2334873,Blue Jasmine,Blue Jasmine,bluejasmine,Blue Jasmine,8/1/13,0
tt2357129,Jobs,Jobs,jobs,Jobs,8/15/13,1
tt1213663,The World's End,The World's End,worldsend,The World's End,7/18/13,1
tt1853739,You're Next,You're Next,yourenext,You're Next,8/22/13,1
tt1413495,Paranoia,Paranoia,paranoia,Paranoia,8/15/13,1
tt2112124,Chennai Express,,chennaiexpress,Chennai Express,8/8/13,0
tt2178470,Yeh Jawaani Hai Deewani,,yeijawaanihaideewani,Yeh Jawaani Hai Deewani,5/31/13,0
tt1758795,The To Do List,The To Do List,todolist,The To-Do List,7/25/13,1
tt1714206,The Spectacular Now,,spectacularnow,The Spectacular Now,9/13/13,0
tt2294677,In a World‰Û_,In A World,inaworld,In a World,8/16/13,0
tt2218003,Closed Circuit,Closed Circuit,closedcircuit,Closed Circuit,8/29/13,1
,,,grandmasters,The Grandmaster,0000-00-00,0
tt1985019,Austenland,Austenland,austenland,Austenland,10/12/13,0
tt2226417,Insidious: Chapter 2,Insidious: Chapter 2,insidious2,Insidious Chapter 2,9/13/13,1
tt1411250,Riddick,Riddick,riddick,Riddick,9/4/13,1
tt1392214,Prisoners,Prisoners,prisoners,Prisoners,9/19/13,1
tt2378281,Instructions Not Included,Instructions Not Included,instructionsnotincluded,Instructions Not Included,8/20/13,0
tt1985966,Cloudy with a Chance of Meatballs 2,Cloudy with a Chance of Meatballs 2,cloudy2,Cloudy with a Chance of Meatballs 2,9/26/13,1
tt2404311,The Family,The Family,malavita,The Family (2013),9/3/13,1
,,One Direction: This Is Us,onedirection,One Direction: This is Us,0000-00-00,0
tt1979320,Rush,Rush,rush2013,Rush (2013),9/12/13,1
tt2167202,Getaway,Getaway,getaway2013,Getaway (2013),8/29/13,1
tt1171222,Baggage Claim,Baggage Claim,baggageclaim,Baggage Claim,9/27/13,0
tt2229499,Don Jon,Don Jon,donjon,Don Jon,9/20/13,1
tt1532958,Battle of the Year,Battle of the Year,planetbboy3d,Battle of the Year,9/19/13,0
tt2390361,Enough Said,Enough Said,enoughsaid,Enough Said,10/11/13,0
tt2172935,Metallica: Through the Never,,metallica2013,Metallica Through the Never,9/26/13,0
,,,jerusalem,Jerusalem,0000-00-00,0
tt1454468,Gravity,Gravity,gravity,Gravity,10/3/13,1
tt1535109,Captain Phillips,Captain Phillips,captainphillips,Captain Phillips,10/10/13,1
tt3063516,Jackass Presents: Bad Grandpa,Bad Grandpa,badgrandpa,Jackass Presents: Bad Grandpa,10/23/13,1
tt1939659,Carrie,Carrie,carrie2013,Carrie (2013),10/16/13,1
tt1731141,Ender's Game,Ender's Game,endersgame,Ender's Game,10/24/13,1
tt1211956,Escape Plan,Escape Plan,tomb,Escape Plan,10/9/13,1
tt1204975,Last Vegas,Last Vegas,lastvegas,Last Vegas,10/31/13,1
tt2364841,Runner Runner,Runner Runner,runnerrunner,Runner Runner,9/25/13,1
tt1621039,Free Birds,Free Birds,turkeys,Free Birds,10/29/13,1
tt2193215,The Counselor,The Counselor,counselor,The Counselor,10/25/13,1
tt2024544,12 Years a Slave,12 Years a Slave,twelveyearsaslave,12 Years a Slave,11/8/13,1
tt2002718,Machete Kills,Machete Kills,machete2,Machete Kills,9/26/13,1
,Pulling Strings,,pullingstrings,Pulling Strings,11/21/13,0
tt1837703,The Fifth Estate,The Fifth Estate,fifthestate,The Fifth Estate,10/11/13,1
tt2349460,Grace Unplugged,Grace Unplugged,graceunplugged,Grace Unplugged,10/4/13,0
tt1618432,I'm in Love with a Church Girl,I'm in Love with a Church Girl,churchgirl,I'm In Love With a Church Girl,12/9/13,0
,,,flyingmonsters,Flying Monsters,0000-00-00,0
tt2017038,All Is Lost,All is Lost,allislost,All Is Lost,11/7/13,1
tt2194499,About Time,About Time,abouttime,About Time,9/4/13,1
,,,bluewarm,Blue Is the Warmest Color,0000-00-00,0
,,,saratovapproach,The Saratov Approach,0000-00-00,0
tt0790636,Dallas Buyers Club,Dallas Buyers Club,dallasbuyersclub,Dallas Buyers Club,11/22/13,1
tt1951264,The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,catchingfire,The Hunger Games: Catching Fire,11/15/13,1
tt1981115,Thor: The Dark World,Thor: The Dark World,thor2,Thor: The Dark World,10/30/13,1
tt1170358,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,hobbit2,The Hobbit: The Desolation of Smaug,12/11/13,1
tt1229340,Anchorman 2: The Legend Continues,Anchorman 2: The Legend Continues,anchorman2,Anchorman 2: The Legend Continues,12/18/13,1
tt2083355,The Best Man Holiday,The Best Man Holiday,bestman2,The Best Man Holiday,11/15/13,1
tt1800241,American Hustle,American Hustle,davido2013,American Hustle,12/12/13,1
tt2609758,A Madea Christmas,Tyler Perry's A Madea Christmas,madeachristmas,Tyler Perry's A Madea Christmas,12/13/13,0
tt2140373,Saving Mr. Banks,Saving Mr. Banks,savingmrbanks,Saving Mr. Banks,11/29/13,1
tt0359950,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,waltermitty,The Secret Life of Walter Mitty,12/19/13,1
tt2387559,Delivery Man,Delivery Man,deliveryman,Delivery Man,11/21/13,1
tt1762399,Walking with Dinosaurs 3D,Walking with Dinosaurs 3D,walkingwithdinosaurs,Walking with Dinosaurs,12/18/13,0
tt1335975,47 Ronin,47 Ronin,47ronin,47 Ronin,12/6/13,1
tt0993846,The Wolf of Wall Street,The Wolf of Wall Street,wolfofwallstreet,The Wolf of Wall Street,12/25/13,1
tt2312718,Homefront,,homefront,Homefront,11/27/13,0
tt0816442,The Book Thief,The Book Thief,bookthief,The Book Thief,11/27/13,1
,Philomena,,philomena,Philomena,11/4/13,0
tt1661382,Grudge Match,Grudge Match,grudgematch,Grudge Match,12/25/13,1
tt1206543,Out of the Furnace,Out of the Furnace,outofthefurnace,Out of the Furnace,12/6/13,0
tt1425922,Black Nativity,Black Nativity,blacknativity,Black Nativity,11/27/13,0
tt1821549,Nebraska,Nebraska,nebraska,Nebraska,12/6/13,1
tt2042568,Inside Llewyn Davis,Inside Llewyn Davis,insidellewyndavis,Inside Llewyn Davis,11/6/13,1
tt2304771,Mandela: Long Walk to Freedom,,mandela2013,Mandela: Long Walk to Freedom,11/28/13,0
,Justin Bieber's Believe,,bieber3d,,12/18/13,0
tt1321511,Oldboy,Oldboy,oldboy2013,Oldboy (2013),11/27/13,1
,Krrish 3,,krrish3,Krrish 3,10/31/13,0
tt2294629,Frozen,Frozen,frozen2013,Frozen,11/27/13,1
tt1091191,Lone Survivor,Lone Survivor,lonesurvivor,Lone Survivor,12/25/13,1
tt1408253,Ride Along,Ride Along,ridealong,Ride Along,1/17/14,1
tt1821658,The Nut Job,,nutjob,The Nut Job,1/17/14,0
tt1205537,Jack Ryan: Shadow Recruit,Jack Ryan: Shadow Recruit,jackryan,Jack Ryan: Shadow Recruit,1/15/14,1
tt2473682,Paranormal Activity: The Marked Ones,Paranormal Activity: The Marked Ones,paranormalactivity5,Paranormal Activity: The Marked Ones,1/1/14,1
tt1322269,August: Osage County,,augustosagecounty,August: Osage County,12/26/13,0
tt1798709,Her,Her,her2013,Her (2013),1/9/14,0
tt1043726,The Legend of Hercules,The Legend of Hercules,herculesbegins,The Legend of Hercules,1/8/14,1
tt2752758,Devil's Due,Devil's Due,devilsdue,Devil's Due,1/16/14,1
tt1418377,I_ Frankenstein,"I, Frankenstein",ifrankenstein,"I, Frankenstein",1/22/14,1
,,,greatbeauty,The Great Beauty,0000-00-00,0
tt2425486,Gloria,Gloria,gloria14,Gloria (2014),5/9/13,0
,,,20feetfromstardom,20 Feet from Stardom,0000-00-00,0
tt1490017,The Lego Movie,The Lego Movie,lego,The LEGO Movie,2/6/14,1
tt2177771,The Monuments Men,The Monuments Men,monumentsmen,The Monuments Men,2/7/14,1
tt1234721,Robocop,Robocop,robocop2013,RoboCop (2014),1/30/14,1
tt1826590,About Last Night,About Last Night,aboutlastnight14,About Last Night (2014),2/14/14,1
tt2024469,Non-Stop,Non-Stop,nonstop,Non-Stop,2/26/14,1
tt3210686,Son of God,Son of God,sonofgod,Son of God,2/28/14,0
tt1800246,That Awkward Moment,That Awkward Moment,areweofficiallydating,That Awkward Moment,1/29/14,1
tt2318092,Endless Love,Endless Love,endlesslove14,Endless Love (2014),2/12/14,1
tt2172934,3 Days to Kill,3 Days to Kill,threedaystokill,3 Days to Kill,2/19/14,1
tt1921064,Pompeii,Pompeii,pompeii,Pompeii,2/19/14,1
tt1967545,Labor Day,Labor Day,laborday,Labor Day,1/31/14,1
tt1837709,Winter's Tale,Winter's Tale,winterstale,Winter's Tale,2/13/14,1
tt1686821,Vampire Academy,,vampireacademy,Vampire Academy,2/7/14,0
tt2013293,Kaze Tachinu,,windrises,The Wind Rises,7/20/13,0
,,,journeytothesouthpacific,Journey to the South Pacific,0000-00-00,0
,,,lunchbox,The Lunchbox,0000-00-00,0
tt1843866,Captain America: The Winter Soldier,Captain America: The Winter Soldier,marvel14b,Captain America: The Winter Soldier,3/26/14,1
tt1840309,Divergent,Divergent,divergent,Divergent,3/20/14,1
tt0864835,Mr. Peabody & Sherman,Mr. Peabody and Sherman,mrpeabodyandsherman,Mr. Peabody & Sherman,2/7/14,1
tt1253863,300: Rise of an Empire,300: Rise of an Empire,300sequel,300: Rise of An Empire,3/5/14,1
tt1959490,Noah,Noah,noah,Noah,3/21/14,1
tt2357291,Rio 2,Rio 2,rio2,Rio 2,3/20/14,1
tt1929263,Heaven is for Real,Heaven is for Real,heavenisforreal,Heaven is for Real,4/16/14,1
tt2528814,God's Not Dead,,godsnotdead,God's Not Dead,3/22/14,0
tt2281587,Muppets Most Wanted,Muppets Most Wanted,muppets2,Muppets Most Wanted,3/19/14,1
tt2278388,The Grand Budapest Hotel,The Grand Budapest Hotel,grandbudapesthotel,The Grand Budapest Hotel,2/26/14,1
tt2369135,Need for Speed,Need for Speed,needforspeed,Need for Speed,3/12/14,1
tt2388715,Oculus,Oculus,oculus,Oculus,4/10/14,0
tt2223990,Draft Day,Draft Day,draftday,Draft Day,4/17/14,1
tt2209764,Transcendence,Transcendence,transcendence,Transcendence,4/17/14,1
tt2465140,The Single Moms Club,The Single Moms Club,singlemomsclub,Tyler Perry's The Single Moms Club,3/14/14,1
tt2828996,A Haunted House 2,A Haunted House 2,hauntedhouse2,A Haunted House 2,3/28/14,0
tt2458776,Bears,Bears,bears,Bears,4/19/14,0
tt1430612,Brick Mansions,Brick Mansions,brickmansions,Brick Mansions,4/23/14,0
tt1742334,Sabotage,,ten2014,Sabotage (2014),3/28/14,0
,,,dhoom3,Dhoom 3,0000-00-00,0
tt2170299,Bad Words,Bad Words,badwords,Bad Words,3/28/14,0
tt1621046,Cesar Chavez,Cesar Chavez,cesarchavez,Cesar Chavez,3/28/14,0
tt2235779,The Quiet Ones,The Quiet Ones,quietones,The Quiet Ones,4/10/14,1
tt2771372,Veronica Mars,Veronica Mars,veronicamars,Veronica Mars,3/13/14,1
,The Raid 2: Berandal,The Raid 2,raid2,The Raid 2,0000-00-00,0
,,,leweekend,Le Week-End,0000-00-00,0
,,,2states,2 States,0000-00-00,0
tt1441395,Under the Skin,,undertheskin2014,Under the Skin (2014),3/14/14,0
tt3231010,Island of Lemurs: Madagascar,,islandoflemurs,Island of Lemurs: Madagascar (IMAX),4/4/14,0
,,,railwayman,The Railway Man,0000-00-00,0
tt2258345,Fading Gigolo,,fadinggigolo,Fading Gigolo,4/9/14,0
tt1872181,The Amazing Spider-Man 2,The Amazing Spider-Man 2,amazingspiderman2,The Amazing Spider-Man 2,4/16/14,1
tt0831387,Godzilla,Godzilla,godzilla2012,Godzilla (2014),5/14/14,1
tt1877832,X-Men: Days of Future Past,X-Men: Days of Future Past,xmen2014,X-Men: Days of Future Past,5/20/14,1
tt2004420,Neighbors,Neighbors,townies,Neighbors,5/3/14,1
tt1587310,Maleficent,Maleficent,maleficient,Maleficent,5/28/14,1
tt1086772,Blended,Blended,blended,Blended,5/22/14,1
tt1647668,Million Dollar Arm,Million Dollar Arm,milliondollararm,Million Dollar Arm,5/9/14,0
tt2557490,A Million Ways to Die in The West,A Million Ways to Die in The West,millionwaystodie,A Million Ways to Die in the West,5/29/14,1
tt0884726,Legends of Oz: Dorothy‰Ûªs Return,,legendsofoz,Legends of Oz: Dorothy's Return,5/8/14,0
tt2883512,Chef,Chef,chef,Chef,5/8/14,1
,,Belle,belle,Belle,0000-00-00,0
,,,theimmigrant,The Immigrant,0000-00-00,0
,,,ida,Ida,0000-00-00,0
,,Words and Pictures,wordsandpictures,Words and Pictures,0000-00-00,0
tt2109248,Transformers: Age of Extinction,Transformers: Age of Extinction,transformers4,Transformers: Age of Extinction,6/25/14,1
tt2294449,22 Jump Street,22 Jump Street,21jumpstreet2,22 Jump Street,6/5/14,1
tt1646971,How to Train Your Dragon 2,How to Train Your Dragon 2,howtotrainyourdragon2,How to Train Your Dragon 2,6/5/14,1
tt2582846,The Fault in Our Stars,The Fault in Our Stars,faultinourstars,The Fault in our Stars,6/4/14,1
tt1631867,Edge of Tomorrow,Edge of Tomorrow,allyouneediskill,Edge of Tomorrow,5/28/14,1
tt2239832,Think Like a Man Too,Think Like a Man Too,thinklikeaman2,Think Like a Man Too,6/20/14,1
tt2103254,Tammy,Tammy,tammy,Tammy,7/2/14,1
tt1742044,Jersey Boys,Jersey Boys,jerseyboys,Jersey Boys,6/18/14,0
tt2377322,Deliver Us from Evil,Deliver Us from Evil,bewarethenight,Deliver Us From Evil,7/2/14,1
tt2183034,Earth to Echo,,echo,Earth to Echo,7/2/14,0
tt3014666,Moms‰Ûª Night Out,Mom's Night Out,momsnightout,Moms' Night Out,5/9/14,0
tt2319580,The Grand Seduction,,grandseduction,The Grand Seduction,5/30/14,0
tt1980929,Begin Again,,canasong,Begin Again,6/27/14,0
,,,obviouschild,Obvious Child,0000-00-00,0
tt2015381,Guardians of the Galaxy,Guardians of the Galaxy,marvel2014a,Guardians of the Galaxy,7/31/14,1
tt2103281,Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,dawnoftheapes,Dawn of the Planet of the Apes,7/9/14,1
tt1291150,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,tmnt2013,Teenage Mutant Ninja Turtles (2014),8/7/14,1
tt2872732,Lucy,Lucy,lucy,Lucy,7/25/14,1
tt1790864,The Maze Runner,The Maze Runner,mazerunner,The Maze Runner,9/11/14,1
tt2267998,Gone Girl,Gone Girl,gonegirl,Gone Girl,10/1/14,1
tt0455944,The Equalizer,The Equalizer,equalizer,The Equalizer,9/24/14,1
tt1924435,Let's Be Cops,Let's Be Cops,letsbecops,Let's Be Cops,8/13/14,1
tt1267297,Hercules,Hercules,hercules2014,Hercules (2014),7/23/14,1
tt2975578,The Purge: Anarchy,The Purge: Anarchy,purge2,The Purge: Anarchy,7/17/14,1
tt3322940,Annabelle,Annabelle,newlinehorror,Annabelle,10/1/14,1
tt2980706,Planes: Fire & Rescue,Planes: Fire & Rescue,planes2,Planes: Fire & Rescue,7/17/14,1
tt2980648,The Hundred-Foot Journey,The Hundred-Foot Journey,100foot,The Hundred-Foot Journey,8/7/14,1
tt2011159,No Good Deed,No Good Deed,nogooddeed13,No Good Deed (2014),9/10/14,1
tt1355630,If I Stay,If I Stay,ifistay,If I Stay,8/22/14,1
tt2106361,Into the Storm,Into the Storm,intothestorm,Into The Storm,8/7/14,1
tt0435651,The Giver,,giver,The Giver,8/14/14,0
tt0787474,The Boxtrolls,The Boxtrolls,laika2014,The Boxtrolls,9/10/14,1
tt2978462,Dolphin Tale 2,Dolphin Tale 2,dolphintale2,Dolphin Tale 2,9/11/14,1
tt2333784,The Expendables 3,The Expendables 3,expendables3,The Expendables 3,8/7/14,1
tt1956620,Sex Tape,Sex Tape,sextape,Sex Tape,7/16/14,1
tt1371150,This is Where I Leave You,This Is Where I Leave You,thisiswhereileaveyou,This is Where I Leave You,9/11/14,1
tt2473602,Get on Up,Get on Up,getonup,Get On Up,8/1/14,1
tt2247476,When the Game Stands Tall,When the Game Stands Tall,whenthegamestandstall,When the Game Stands Tall,8/22/14,1
tt0829150,Dracula Untold,Dracula Untold,dracula,Dracula Untold,10/1/14,1
