"","Actor","Total.Gross","Num.Movies","Avg.Per.Movie","No.1.Movie","Gross.of.No.1.Movie"
"790","Kristen Wiig",1908.6,30,63.6,"Despicable Me 2",368.1
"791","Olivia Wilde",571.5,21,27.2,"Tron Legacy",172.1
"792","Tom Wilkinson",1201.2,44,27.3,"Rush Hour",141.2
"793","Michael K. Williams",600.9,14,42.9,"The Incredible Hulk",134.8
"794","Michelle Williams",644.8,24,26.9,"Oz The Great and Powerful",234.9
"795","Robin Williams",3279.3,49,66.9,"Night at the Museum",250.9
"796","Bruce Willis",3189.4,60,53.2,"Sixth Sense",293.5
"797","Luke Wilson",645.1,30,21.5,"Legally Blonde",96.5
"798","Owen Wilson",2611,40,65.3,"Night at the Museum",250.9
"799","Patrick Wilson",770.5,18,42.8,"The Conjuring",137.4
"800","Rebel Wilson",467.1,7,66.7,"Pitch Perfect 2",184.3
"801","Kate Winslet",1452.2,30,48.4,"Titanic",658.7
"802","Mary Elizabeth Winstead",479.9,17,28.2,"Live Free or Die Hard",134.5
"803","Reese Witherspoon",1254,30,41.8,"Monsters Vs. Aliens",198.4
"804","Ellen Wong",31.5,1,31.5,"Scott Pilgrim vs. the World",31.5
"805","Elijah Wood",1889.3,37,51.1,"Return of the King",377.8
"806","Shailene Woodley",581.1,8,72.6,"Divergent",150.9
"807","Kenny Wormald",64.4,4,16.1,"Footloose",51.8
"808","Sam Worthington",1205.3,13,92.7,"Avatar",760.5
"809","Jeffrey Wright",2006.1,26,77.2,"Catching Fire",424.7
"810","Robin Wright",332.6,5,66.5,"Forrest Gump",330.3
"811","Anton Yelchin",1087.1,20,54.4,"Star Trek",257.7
"812","Donnie Yen",227.1,10,22.7,"Blade II",82.3
"813","Michelle Yeoh",503,10,50.3,"Kung Fu Panda 2",165.2
"814","Renee Zellweger",1190.2,27,44.1,"Chicago",170.7
"815","Catherine Zeta-Jones",1229.3,24,51.2,"Chicago",170.7
"816","Zhang Ziyi",485.9,10,48.6,"Rush Hour 2",226.2
"817","Josh Zuckerman",8.4,2,4.2,"Sex Drive",8.4
