"","Actor","Total.Gross","Num.Movies","Avg.Per.Movie","No.1.Movie","Gross.of.No.1.Movie"
"555","Sophie Okonedo",103.5,7,14.8,"The Secret Life of Bees",37.8
"556","Gary Oldman",3294,38,86.7,"The Dark Knight",534.9
"557","Elizabeth Olsen",1089.8,13,83.8,"Avengers: Age of Ultron",459
"558","Mary-Kate Olsen",63.5,4,15.9,"Beastly",27.9
"559","Timothy Olyphant",693.8,22,31.5,"Live Free or Die Hard",134.5
"560","Clive Owen",506.5,25,20.3,"Inside Man",88.5
"561","David Oyelowo",508,13,39.1,"Rise of the Planet of the Apes",176.8
"562","Al Pacino",1457.3,39,37.4,"The Godfather",135
"563","Ellen Page",714,15,47.6,"Inception",292.6
"564","Adrianne Palicki",210.4,4,52.6,"G.I. Joe: Retaliation",122.5
"565","Teresa Palmer",468.9,15,31.3,"Bedtime Stories",110.1
"566","Gwyneth Paltrow",1834,33,55.6,"Iron Man 3",409
"567","Hayden Panettiere",338.4,12,28.2,"Remember the Titans",115.7
"568","Anna Paquin",997.6,19,52.5,"X-Men: The Last Stand",234.4
"569","Sarah Jessica Parker",990.6,28,35.4,"Sex and the City",152.6
"570","Dev Patel",388,7,55.4,"Slumdog Millionaire",141.3
"571","Robert Pattinson",1734.2,13,133.4,"The Twilight Saga: Eclipse",300.5
"572","Paula Patton",622,13,47.8,"Mission: Impossible 4",209.4
"573","Sarah Paulson",72.4,4,18.1,"12 Years a Slave",56.7
"574","Guy Pearce",1212.5,33,36.7,"Iron Man 3",409
"575","Amanda Peet",882,26,33.9,"2012",166.1
"576","Simon Pegg",1682.9,19,88.6,"Star Trek",257.7
"577","Kal Penn",415.2,13,31.9,"Superman Returns",200.1
"578","Sean Penn",867.6,39,22.2,"Angry Birds",107.5
"579","Piper Perabo",581.2,16,36.3,"Cheaper by the Dozen",138.6
"580","Ron Perlman",707.6,21,33.7,"Tangled",200.8
"581","Alex Ross Perry",NA,1,NA,"7 Chinese Brothers",NA
"582","Matthew Perry",200.9,7,28.7,"17 Again",64.2
"583","Tyler Perry",948.8,16,59.3,"Gone Girl",167.8
"584","Alex Pettyfer",259.4,7,37.1,"Magic Mike",113.7
"585","Michelle Pfeiffer",1431.1,36,39.8,"Batman Returns",162.8
